section_type,section_id,section_name,section_name,question_required,question_title,question_desc,question_placeholder_text,question_validation_text,question_type,question_answer_object,question_answer_fileformat,question_answer_scale_min_max_step,question_answer_option01,question_answer_option02,question_answer_option03,question_answer_option04,question_answer_option05,question_answer_option06,question_answer_option07,question_answer_option08,question_answer_option09,question_answer_option10,question_answer_option11,question_answer_option12,question_answer_option13,question_answer_option14,question_answer_option15,question_answer_option16,question_answer_option17,question_answer_option18,question_answer_option19,question_answer_option20,question_answer_option21,question_answer_option22,question_answer_option23,question_answer_option24,question_answer_option25
Comune,A,A - Organizzazione,,TRUE,Che tipo di organizzazione sei? ,,,,radio,,,,Impresa o altra organizzazione profit (vai alla sezione A1.1),Associazione o altra organizzazione no profit (vai alla sezione A1.2),Ente di ricerca (vai alla sezione A1.3),Istituzione Pubblica / Pubblica Amministrazione (vai alla sezione A1.4),,,,,,,,,,,,,,,,,,,,,
Specifica,A1.1,A1.1 – Impresa o altra organizzazione profit,,TRUE,Denominazione,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.1,A1.1 – Impresa o altra organizzazione profit,,TRUE,Indirizzo sede,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.1,A1.1 – Impresa o altra organizzazione profit,,TRUE,Regione,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.1,A1.1 – Impresa o altra organizzazione profit,,TRUE,Provincia,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.1,A1.1 – Impresa o altra organizzazione profit,,TRUE,Comune,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.1,A1.1 – Impresa o altra organizzazione profit,,TRUE,Sito web,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.1,A1.1 – Impresa o altra organizzazione profit,,TRUE,Codice ATECO,Inserisci il codice a 6 cifre,,,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.1,A1.1 – Impresa o altra organizzazione profit,,TRUE,Settore di attività,,,,text_short_alfanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specifica,A1.1,A1.1 – Impresa o altra organizzazione profit,,TRUE,B2B/B2C (La sua organizzazione offre al consumatore diretto (business to consumer - B2C) oppure a imprese o altre realtà commerciali (business to business - B2B)?,,,,radio,,,,B2B,B2C,Entrambe,,,,,,,,,,,,,,,,,,,,,,
